OBJECTID,Type,Status,Facility Name,Comment,GlobalID,CountAttachments,AttachID,x,y
903,Audible Traffic Control,Active,Taylor-Kidd Boulevard and Pembridge Crescent,Controlled by traditional traffic signals to provide a pedestrian the right-of-way to cross the street.,fe17b407-635f-4a92-b6a6-036f9afd5d61,,,-8525485.26022314,5504108.52114469
904,Audible Traffic Control,Active,Bayridge Drive at Bayridge Park,Controlled by traditional traffic signals to provide a pedestrian the right-of-way to cross the street.,b74fd453-5392-4435-8a4e-d3541c8eaee2,,,-8526010.36631382,5503981.48283933
906,Splash Pad,Active,Bert Meunier Common,Open May long weekend to mid-fall 9 a.m. to 9 p.m.,8f704836-2443-48c2-880a-0e4f86b9e033,,,-8521828.81830605,5506478.89522926
907,Splash Pad,Active,Lake Ontario Park,Open May long weekend to mid-fall 9 a.m. to 9 p.m.,883a4680-5275-43f9-b78c-5ebe3946fd9e,,,-8519358.66700784,5498981.10921792
908,Pedestrian Crossing,Active,Portsmouth Avenue and Curtis Crescent,"signs above and on both sides of the road, pavement markings, and flashing lights that can be activated by pedestrians using push buttons.",bdc0bb00-af0c-44c1-81e4-e488fd33487e,,,-8518814.89084813,5500745.27918614
909,Pedestrian Crossing,Active,Woodbine Road and Wise Street,"signs above and on both sides of the road, pavement markings, and flashing lights that can be activated by pedestrians using push buttons.",c48e4b26-f60f-4fdb-90ba-16344857b911,,,-8526797.53969465,5505522.51825621
910,Pedestrian Crossing,Active,Rideau Street at Caton's Field,"signs above and on both sides of the road, pavement markings, and flashing lights that can be activated by pedestrians using push buttons.",13352755-e5a6-4a0c-853c-975ba51360e3,,,-8514186.52262834,5503403.49413525
911,Pedestrian Crossing,Active,Rideau Street at Raglan Road,"signs above and on both sides of the road, pavement markings, and flashing lights that can be activated by pedestrians using push buttons.",bbcb16e1-b707-4a1b-aaa0-0f408c2a8c81,,,-8514042.00887173,5502401.45246756
912,Pedestrian Crossing,Active,Grenadier Street at Windfield Crescent,"Type B - signs, pavement markings and flashing lights.",493d9059-81e5-449d-bcad-00976fe23a6b,,,-8511423.40483229,5505005.10716806
913,Pedestrian Crossing,Active,Union Street and Traymoor Street,"signs above and on both sides of the road, pavement markings, and flashing lights that can be activated by pedestrians using push buttons.",aff39f9a-b1d3-463d-8c71-6e5b880100a6,,,-8516875.7155875,5500324.6326969
914,Pedestrian Crossing,Active,Hickson Avenue and Hagerman Avenue,signs on the sides of the road and pavement markings.,5fa85d4e-3ce4-4a6d-8ae9-ef98f481bce0,,,-8514761.15685965,5504650.04289332
915,Pedestrian Crossing,Active,St. Remy Place and Cattail Place,signs on the sides of the road and pavement markings.,6d41d719-bf48-4d93-b2be-1243fb2ef5f2,,,-8517345.39496762,5506893.46834124
916,Pedestrian Crossing,Active,Ontario Street and Lower Union Street,"Pushing the button activates the traffic signal, which stops traffic and indicates when pedestrians can cross the road",88709086-4f8b-40ec-979c-d4460890a74e,,,-8514178.93091829,5500387.72498009
917,Pedestrian Crossing,Active,Front Road and Lakeview Avenue,"Pushing the button activates the traffic signal, which stops traffic and indicates when pedestrians can cross the road.",7b96fac7-cc58-469e-9965-66409745e806,,,-8523900.00387478,5499292.40056192
918,Pedestrian Crossing,Active,Sir John A Macdonald Boulevard and Norman Rogers,"Pushing the button activates the traffic signal, which stops traffic and indicates when pedestrians can cross the road",78ca40c5-d5ac-4178-ace4-07711bad074c,,,-8517594.25741589,5501699.99852061
919,Pedestrian Crossing,Active,Johnson Street and Macdonnell Street,"Pushing the button activates the traffic signal, which stops traffic and indicates when pedestrians can cross the road",ba56d0c4-6553-43d2-8936-81833757ae55,,,-8516505.42391012,5501326.59682438
920,Pedestrian Crossing,Active,Bath Road and McEwen Drive,Pedestrians press a button to activate the walk signal. All road users must follow regular traffic rules.,7467f6d9-36bf-4181-b34b-d3c67ca1709c,,,-8524489.00469551,5502298.43573586
921,Accessible Parking Space,Active,Kingston East Community Centre,,b224b98e-5211-4508-af82-1ab746a2152c,,,-8511324.16356699,5504878.93974173
922,Accessible Parking Space,Active,Kingston East Community Centre,Van accessible,b14586c0-9666-434c-951c-293169f18e94,1,,-8511325.05931342,5504886.40429527
923,Accessible Parking Space,Active,Kingston East Community Centre,Van accessible,26f51ede-9f1c-4d97-95a3-714e1e0b94f8,1,,-8511325.6564777,5504891.92806489
924,Accessible Parking Space,Active,Kingston East Community Centre,,86c33ec4-dab2-4479-b746-652d49e2171d,1,,-8511326.85080627,5504898.49687201
925,Accessible Parking Space,Active,Kingston East Community Centre,,50d8f824-c41c-49aa-a665-9c9782e32ae6,1,,-8511327.74655269,5504903.27418628
926,Accessible Parking Space,Active,Kingston East Community Centre,Van accessible,c8e299ac-3831-475a-9343-511c4e3bf3fb,1,,-8511327.89584376,5504909.99228446
927,Pedestrian Crossing,Active,Kingston East Community Centre,,a010a2ab-1dcd-43df-87a4-881625dc85dc,,,-8511427.92086121,5504842.36342938
928,Pedestrian Crossing,Active,Kingston East Community Centre,,f2f97f24-d1bb-4b88-87ea-ccac7c2359a0,,,-8511302.06848851,5504854.60529719
929,Pedestrian Crossing,Active,Kingston East Community Centre,,59dcdeb4-367f-46a3-b019-9da60f0826ec,,,-8511287.88583678,5504878.19328638
930,Accessible Pathway,Active,Kingston East Community Centre,,2bea3448-def9-4e2f-a18c-bf9ad14481c4,1,1,-8511302.06848851,5504876.40179353
931,Accessible Pathway,Active,Kingston East Community Centre,,210c7b15-7a2b-4377-986a-0fa625986667,1,1,-8511332.07599375,5504892.22664703
932,Accessible Bench,Active,Kingston East Community Centre,,f82dbbbb-3282-4a68-b10d-90d17e1a9aea,1,1,-8511311.62311704,5504873.71455425
933,Accessible Bench,Active,Kingston East Community Centre,,3b89a4d5-f12d-4954-9a28-983b545918d1,1,1,-8511347.37832851,5504866.84716499
934,Accessible Bench,Active,Kingston East Community Centre,,a1d48d65-320f-4b1d-a8fe-56611d3430c1,1,1,-8511372.75781054,5504863.78669804
935,Passenger Drop Off,Active,Kingston East Community Centre,,f3444111-0911-4b47-b2b7-63b51fe8e3ff,,,-8511348.423366,5504858.71080163
936,Accessible Bench,Active,Kingston East Community Centre,,63cb9f20-82ae-42e3-a4eb-d6d507564e1f,1,1,-8511422.99425588,5504859.83048466
937,Accessible Pathway,Active,Kingston East Community Centre,,03314761-4ba5-4f6c-ac6c-25d2416df6b0,1,1,-8511426.95046925,5504848.93223649
938,Automated Door Opener,Active,Kingston East Community Centre,,6f413a2c-0321-4977-acc3-5a7bd643b65a,1,1,-8511383.2081855,5504875.5060471
939,Automated Door Opener,Active,Kingston East Community Centre,,1e75958e-0a2c-490a-a8b0-282df2e0f893,1,1,-8511338.04763658,5504880.80588011
940,Automated Door Opener,Active,Kingston East Community Centre,,45c935d4-4c63-40a4-ace6-8ab568cff886,1,1,-8511338.12228211,5504935.81963972
941,Accessible Mens Washroom,Active,Kingston East Community Centre,,e9f9bced-6283-49f4-8141-f912c1a33ab7,1,1,-8511364.99467486,5504947.24040663
942,Accessible Womens Washroom,Active,Kingston East Community Centre,,980b1970-4177-48ce-a999-e29b2f193823,1,1,-8511377.46047927,5504945.67285039
943,Accessible Family Washroom,Active,Kingston East Community Centre,Universal washroom with adult change table and shower,b17fb2dc-b5ec-4f29-ac50-bad8edca4d81,2,1,-8511370.59309002,5504945.82214146
944,Splash Pad,Active,Kingston East Community Centre,,d623c5e2-7e70-4bc9-9f88-53b5e9fb55c3,,,-8511416.35080322,5504949.7037093
945,Accessible Bench,Active,Kingston East Community Centre,,5b915264-563b-4186-8bed-d326f0463468,,,-8511410.15522378,5504959.10904676
946,Accessible Bench,Active,Kingston East Community Centre,,c4376127-e1f5-4c24-8e51-c5ec1c67e581,,,-8511398.95839347,5504951.86842983
947,Accessible Bench,Active,Kingston East Community Centre,,a4637521-e0f7-4e4a-85be-d2bbfa4fe2fe,,,-8511419.85914339,5504928.57902278
948,Accessible Bench,Active,Kingston East Community Centre,,379f3d93-17d0-446a-9ca8-bd09ad118dda,,,-8511415.75363894,5504932.16200848
949,Accessible Bench,Active,Kingston East Community Centre,,f993dd84-9559-4970-8391-2a05cc80512b,,,-8511412.54388092,5504934.40137454
950,Accessible Parking Space,Active,Rideau Heights Community Centre,Accessible van,7118eda0-dd13-4f7a-9df4-2dec922646a6,,,-8514084.41139626,5506579.37147792
951,Accessible Parking Space,Active,Rideau Heights Community Centre,,dee67c90-1b69-4379-9e0a-9d0ba74d3d9b,,,-8514090.08445695,5506577.430694
952,Accessible Parking Space,Active,Rideau Heights Community Centre,,3f016818-8993-483c-a3b2-24e7857db572,,,-8514096.05609978,5506576.3856565
953,Accessible Parking Space,Active,Rideau Heights Community Centre,,11d1538b-f519-437f-a7d7-1c244a4fd926,,,-8514102.17703368,5506576.08707436
954,Accessible Parking Space,Active,Rideau Heights Community Centre,Accessible van,5a2fbdbb-1443-4862-83b7-9a770a289296,,,-8514108.14867652,5506575.34061901
955,Accessible Parking Space,Active,Rideau Heights Community Centre,,e2527637-1f5a-4ce2-a399-6a2810dac943,,,-8514113.97102828,5506574.44487258
956,Pedestrian Crossing,Active,Rideau Heights Community Centre,signs on the sides of the road and pavement markings.,6544444a-7d42-407a-85f6-91568dac8d57,,,-8514038.72832858,5506520.84937816
957,Passenger Drop Off,Active,Rideau Heights Community Centre,,b7d5ccbe-351a-41e5-aeb2-cd9c063554a5,,,-8514070.07945346,5506524.28307279
958,Accessible Pathway,Active,Rideau Heights Community Centre,,c24f442d-1a0c-4f19-8dd7-97d2be4f7d6a,,,-8514119.94267111,5506569.36897618
959,Accessible Bench,Active,Rideau Heights Community Centre,,b88ef187-e842-4632-8d0d-65f49aa5a639,,,-8514077.39471593,5506586.53744932
960,Ramp,Active,Rideau Heights Community Centre,,1a369252-f9c6-4eab-813c-f47ac11573f3,,,-8514055.37428298,5506588.32894217
961,Automated Door Opener,Active,Rideau Heights Community Centre,,89cfebc0-6a4b-4cbe-9388-bd40fb75f991,,,-8514050.07444997,5506594.52452161
962,Accessible Bench,Active,Rideau Heights Community Centre,,9088c4c3-57ee-4d50-8263-b80ad7f35b64,,,-8514046.93933748,5506546.37815127
